pure_org_id	org_name
96738839-6991-4cfa-be8b-5379984a0475	Department Of Hispanic Portuguese And Latin American Studies
69cacd8e-777b-4dd8-a313-ee0f20a0e6c4	Bristol Centre For Surgical Research
7d795280-3bf7-43ee-bd26-49e945d87e22	Musculoskeletal Research Unit
33568d2b-0609-45da-8acd-458242dccc9f	Borders And Borderlands
1dcc0d2e-d88c-4777-ae8d-f5954ec1e2b4	Volcanology
1a2ddd6e-6d4c-4cdd-bc74-4e271ace5130	Stroke Research Group
714e1999-a8fe-4b43-803d-8ec4ea4165de	Law  Religion
b415908d-184e-4531-b5b9-29fed1cd2217	The Scar Free Foundation Centre For Childrens Burns Research
ee528f7c-ff9e-48b6-ae6c-0ce898b98ef4	Brigstow Institute
a23f8f90-9a61-4a02-9a1d-671ef4bd1f03	Commercial Law
3ed04f4f-792f-4190-967f-43bb6275694a	Quantitative Spatial Science
6c322c17-893f-44b2-b3b3-c50eebe88d95	Centre For Comparative And International Research In Education
a4ecfba4-b171-4220-af67-26c73db801a9	Geophysics
0d7a5d3c-a083-4e4d-a67d-b6ffd3ac4d70	Multiple Sclerosis And Stem Cell Group
52a53701-a963-452a-9c75-e48843569a6c	Centre For Urban And Public Policy Research
6eb5eaa6-8233-4776-98e6-9b1871804d87	Bristol Population Health Science Institute
931de1b2-e000-4d74-af37-948b2b0920b4	Department Of Religion And Theology
9eae8161-2c74-4161-8b68-1f029268b727	Department Of History Of Art Historical Studies
